Ingredient_EN,CO2_kg_per_kg,source,Country,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
"Pineapple, fresh, according to real transport average",0.9,German,Italy,2,2,0,1,2,1,0,1,2,1,1,0
"Pineapple, by ship",0.6,German,Eritrea,1,0,0,2,0,1,0,0,2,2,1,2
"Pineapple, by plane",15.1,German,Niue,1,1,0,1,1,1,0,2,0,0,2,0
"Pineapple, canned",1.8,German,French Guiana,2,2,0,0,1,0,0,2,2,0,0,1
"Apple, average",0.3,German,Australia,0,1,2,1,0,2,0,1,2,2,2,2
"Apple, from the region in autumn",0.3,German,Lithuania,1,2,2,0,0,0,0,0,2,1,2,0
"Apple, from the region in April",0.4,German,Italy,0,1,2,1,0,1,1,0,0,0,0,2
"Apple (organic), average",0.2,German,United Arab Emirates,1,1,2,1,1,0,2,2,2,1,1,0
"Apple, from New Zealand",0.8,German,Cayman Islands,1,0,2,2,0,2,0,2,0,1,2,0
Aubergine,0.2,German,Kiribati,1,1,0,1,2,1,1,1,1,2,2,0
"Avocado, average",0.6,German,Nicaragua,1,1,0,0,2,1,0,0,1,2,0,1
"Avocado, from Peru",0.8,German,Dominican Republic,2,2,0,2,0,1,2,2,1,2,1,0
"Avocado (organic), from Peru",0.8,German,Yemen,2,0,2,1,1,0,0,2,1,2,2,0
Banana,0.6,German,Faroe Islands,2,0,2,2,0,0,1,0,2,2,2,1
Pear,0.3,German,Saint Vincent and the Grenadines,1,2,1,1,1,1,2,2,1,0,1,0
Cauliflower,0.2,German,Namibia,2,2,0,1,2,0,0,1,0,1,0,1
"Beans, fresh",0.8,German,Uzbekistan,0,2,1,0,0,2,2,1,2,2,1,2
"Beans, canned",1.3,German,Liechtenstein,1,1,1,1,2,0,0,0,2,1,2,1
"Broccoli, fresh",0.3,German,Liechtenstein,1,0,2,2,0,1,0,0,2,2,0,0
"Broccoli, frozen",0.7,German,Germany,0,2,0,2,2,1,0,1,0,1,2,1
"Mushrooms, fresh, light or dark",1.3,German,Tajikistan,1,1,0,0,0,1,0,1,1,2,2,0
"Mushrooms, canned",2.4,German,Maldives,2,2,0,2,2,0,2,0,1,1,0,2
"Peas, fresh, green, in pods",0.4,German,Portugal,1,0,2,0,2,2,0,0,0,2,0,2
"Peas, dried",2.3,German,Faroe Islands,0,0,2,2,2,0,1,0,1,0,1,2
"Peas, frozen",1.2,German,Panama,1,0,1,2,1,2,1,2,2,1,0,2
"Peas, green, tin",1.7,German,Romania,0,1,2,1,2,1,1,2,2,2,2,2
